file,inputs,keys,outputs,gates,iteration,backbones_count,cube_count,cpu_time,maxrss,key
dac12/c5315_enc05.bench,178,115,123,2424,27,0,304780,7.45341,20.8711,1110000110000000011111001111001100100001100100010010111010100111111001001010000101111001100110101110011011101100011
dac12/c5315_enc10.bench,178,231,123,2543,55,0,676092,16.6766,29.9883,111001011001100111111100111100110010000110010001001011101010011111100100100000011011100100001000001101000010000101010010010011100000000001001011100100100111010001111101100000001000001000110011001000110000111010001111001100000001100
dac12/c5315_enc25.bench,X,X,X,x,x,x,x,x
dac12/c5315_enc50.bench,X,X,X,x,x,x,x,x
dac12/c7552_enc05.bench,207,176,108,3689,88,0,1550476,22.4118,48.3945,00110111111100111101110111011000110010111111100100111011100000100100010010000001101100111101100110100110011110000101011001001110000000000101110111100000011101000111110110000000
dac12/c7552_enc10.bench,X,X,X,x,x,x,x,x
dac12/c7552_enc25.bench,X,X,X,x,x,x,x,x
dac12/c7552_enc50.bench,X,X,X,x,x,x,x,x
dac12/c880_enc05.bench,60,19,26,403,25,0,47310,0.066089,6.58984,1110100100110011011
dac12/c880_enc10.bench,60,38,26,423,21,0,43830,0.179209,6.58984,11101001001100101111110000101010110000
dac12/c880_enc25.bench,60,96,26,487,38,0,98132,0.644068,7.20703,111010010011001011111100111010110010000110010001001011101010011110000100101000011011011111011001
dac12/c880_enc50.bench,60,192,26,584,73,0,243182,2.90185,15.4375,111010010011001011111100011100101010000110010001001011101010011110100100101000011011011111011001100001100011100001010100010011100010000001011101111000000111010001111101100000001000001100110011
dac12/dalu_enc05.bench,75,115,16,2436,42,0,525202,5.2516,24.4961,1110100100110011011111001110001000100001100010011101001010101000000100011001100011000010001000010000011000011001110
dac12/dalu_enc10.bench,75,230,16,2551,43,0,573760,3.60131,19.625,11101001001100110111110011100010001000010100100100100001101000100001000110000001100011100010000100000101000110000100000101000100000000000101100010000000010001000110001100100000100000101001100001110111101010010110111100000000000110
dac12/dalu_enc25.bench,75,575,16,2898,104,0,1618260,131.27,71.4375,11101001001100110111110011100010001000010100100100100001101000100001000110000000110000100010000100000101000110000100000101000100000000000101100010000000010001000110001100100000100000101000110001001000000010001000100010001100000111111110011010100101001010100010000010111001100101010010010110100011101101111010101110110100000010000000001111111011110110101101111000111100100001010010011101111110000010110011000101000100110100100110111000001101110010001010111001010100101010110011011101101100110000110011001001110101101001101011001011001000011111000101010110111101001011110011110
dac12/dalu_enc50.bench,X,X,X,x,x,x,x,x
dac12/des_enc05.bench,256,324,245,6804,50,0,1695140,278.228,109.051,011010010011101100011100001000100110000101010101100011000001000100010111000010010010011001100000101100110111000001010100110011100000000001011011001000110000001001110100001000000100001100110011101000000001000010101001100001000100011000001111101101100000100000001001000100010000101100001111001111001110011000111000110010001000
dac12/des_enc10.bench,X,X,X,x,x,x,x,x
dac12/des_enc25.bench,X,X,X,x,x,x,x,x
dac12/des_enc50.bench,X,X,X,x,x,x,x,x
